Linka číslo 802365		Uherské Hradiště-Tučapy-Ořechov																																																						
Platí od 13. 6. 2021 do 31. 12. 2021																																																								
Tč			Spoj 5	Spoj 7	Spoj 201	Spoj 109	Spoj 9	Spoj 11	Spoj 13	Spoj 1	Spoj 3	Spoj 15	Spoj 203	Spoj 17	Spoj 57	Spoj 211	Spoj 19	Spoj 21	Spoj 205	Spoj 23	Spoj 25	Spoj 27	Spoj 29	Spoj 213	Spoj 31	Spoj 33	Spoj 35	Spoj 37	Spoj 41	Spoj 43	Spoj 45	Spoj 207	Spoj 47	Spoj 49	Spoj 51	Spoj 209	Spoj 53	Spoj 59	Spoj 55	km	km	km	km	km	km	km	km	km	km	km	km	km	km	km	km	km
			X	X	6 +	X 12	X 20	X 20	X 20	X 20	X 20	X	6 +	X	X	6 +	X	X	6 +	X 27	X 20	X 20	X 20	6 +	X 20	X	X 29	X	X 20	X	X 20	6 +	X	X 31	X 27	6 + 24	X 31	X 27	X 31																	
18	Polešovice,,škola		<	<	<	<	<	7:02				<	<	<		<	<	<	<	13:19			<	<	14:44	<	<	<		<		<	<	<	<	<	<	<	<	<	<	14	<	<	<	<	14		<			<		<	<	<
19	Polešovice,,Městečko		6:09	6:41	6:45	6:50	6:50	7:04				7:57	8:49	9:11		10:49	10:56	12:24	12:41	<			14:16	14:44	14:45	15:00	15:06	15:19		15:56		16:38	16:56	17:56	18:56	19:31	19:40	21:16	23:03	16	14	14	16	16	16	16	<		14			16		14	14	14
20	Polešovice,,u Marka		6:10	6:43	6:47	6:52	6:52					7:59	8:50	9:13		10:50	10:58	12:26	12:43	13:21			14:18	14:45		15:02	15:08	15:21		15:58		16:40	16:58	17:58	18:58	19:32	19:41	21:18	23:04	17	15		17	17	17	17	15		15			17		15	15	15
21	Vážany		<	<	6:49	6:54	6:54					8:01	8:52	<		10:52	11:00	12:28	<	13:25			<	14:47		15:04	<	15:23		16:00		16:42	17:00	18:00	<	19:34	19:43	21:20	23:06	<	<		18	<	18	18	16		<			<		16	16	16
22	Tučapy,,hřiště		<	<	6:52	6:58	6:58					8:04	8:55	<		10:55	11:03	12:31	<	13:28			<	14:50		15:07	<	15:26		16:03		16:45	17:03	18:03	<	19:37	19:46	21:23	23:09	<	<		21	<	21	21	19		<			<		19	19	19
23	Boršice,,Obecní úřad		<	<	<	<	<			6:56		<	<	<	9:30	<	<	<	<	<			<	<		<	<	<		<		<	<	<	<	<	<	<	<	<	<		<	<	<	<	<		<			<	0	<	<	<
24	Tučapy		<	<	6:53	7:00	7:00			7:00		8:05	8:56	<	9:34	10:56	11:04	12:32	<	13:29			<	14:51		15:08	<	15:27		16:04		16:46	17:04	18:04	<	19:38	19:47	21:24	23:10	<	<		21	<	21	21	19		<			<	3	19	19	19
25	Boršice,,Obecní úřad		<	<	<	7:04						<	<	<	<	<	<	<	<	<			<	<		<	<	<		<		<	<	<	<	<	<	<	<	<	<		<	<	<	<	<		<			<	<	22	<	<
26	Tučapy,,hřiště		<	<	<							<	<	<	<	<	<	<	<	<			<	<		<	<	<		<		<	<	<	<	<	<	<	<	<	<		<	<	<	<	<		<			<	<		<	<
27	Vážany		6:12	6:45	6:57							8:09	9:00	9:15	9:38	11:00	11:08	12:36	12:45	13:31			14:20	14:55		15:12	15:10	15:31		16:08		16:50	17:08	18:08	19:00	19:42	19:51	21:28	23:14	18	16		24	18	24	24	22		16			18	6		22	22
28	Ořechov,,hřbitov		6:14	6:46	6:58							8:10	9:01	9:16	9:40	11:01	11:09	12:37	12:47	13:33			14:21	14:56		15:13	15:11	15:32		16:09		16:51	17:09	18:09	19:01	19:43	19:52	21:29	23:15	19	17		25	19	25	25	23		17			19	7		23	23
29	Ořechov	příjezd	6:15	6:47	6:59							8:11	9:02	9:17	9:41	11:02	11:10	12:38	12:48	13:34			14:22	14:57		15:14	15:12	15:33		16:10		16:53	17:10	18:10	19:02	19:44	19:53	21:30	23:16	20	18		26	20	26	26	24		18			20	8		24	24
																																																								
Přepravu zajišťuje: ČSAD BUS Uherské Hradiště a.s., Malinovského 874, 686 19 Uherské Hradiště, www.csaduh.cz																																																								
