Linka číslo 802365		Uherské Hradiště-Tučapy-Ořechov																																																								
Platí od 1. 1. 2021 do 31. 12. 2021		opačný směr																																																								
Tč			Spoj 2	Spoj 6	Spoj 202	Spoj 8	Spoj 4	Spoj 14	Spoj 118	Spoj 22	Spoj 18	Spoj 204	Spoj 16	Spoj 20	Spoj 120	Spoj 24	Spoj 208	Spoj 58	Spoj 26	Spoj 212	Spoj 28	Spoj 30	Spoj 130	Spoj 206	Spoj 34	Spoj 36	Spoj 136	Spoj 38	Spoj 40	Spoj 42	Spoj 214	Spoj 44	Spoj 46	Spoj 48	Spoj 56	Spoj 210	Spoj 50	Spoj 52	Spoj 54	Spoj 60	km	km	km	km	km	km	km	km	km	km	km	km	km	km	km	km	km	km
			X	X	6 +	X	X	X	X 10	X 20	X 20	6 +	X 20	X 20	X 20	X	6 +	X	X	6 +	X	X 20	X 10	6 +	X 20	X 20	X 12	X 20	X 20	X 20	6 +	X	X	X 20	X 20	6 + 24	X 31	X 31	X 31	X 27																		
8	Staré Město,,žel.st.		4:42	5:12	<	5:50	<	<	7:22	<	<	7:23	<	<	<	8:38	9:24		10:08	11:26	<	<	<	13:20	<	14:02	14:05	<	<	<	15:20	15:38	15:58	<	<	17:15	<	<	20:37	22:20	22	<	22	<	<	<	<	<	16	<	14	<	<	<	<		<	16
7	Staré Město,,rozc.k žel.st.0.4		4:43	5:13	5:31	5:51	6:21	6:47	7:24	7:24	7:21	7:24	7:25	7:14	|	8:39	9:25		10:09	11:27	11:31	13:09	13:11	13:21	13:14	14:03	14:07	14:09	14:45	15:05	15:21	15:40	15:59	15:48	16:46	17:16	17:32	18:34	20:39	22:21	22	12	22	22	10	14	4	18	16	16	14	14	10	6	8		4	16
6	Staré Město,,Finská čtvrť		4:44	5:14	5:32	5:52	6:22	6:48	7:25	<	|	7:25	<	7:15	<	8:40	9:26		10:10	11:28	11:32	13:10	13:12	13:22	13:16	14:04	14:08	14:11	|	|	15:22	|	16:00	|	16:47	17:17	17:33	18:35	20:40	22:22	23	13	23	23	<	15	5	<	17	17	15	15	11	7	9		<	17
5	Staré Město,,Bratří Mrštíků		<	<	<	<	<	<	<	7:27	<	<	7:27	<	7:38	<	<		<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	11	<	<	19	<	<	<	<	<	<	<		5	<
4	Staré Město,,sokolovna		4:45	5:15	5:33	5:54	6:23	6:50	7:26	7:28	|	7:26	7:28	7:16	7:40	8:41	9:27		10:11	11:29	11:33	13:11	13:13	13:23	13:17	14:05	14:09	14:12	|	|	15:23	15:42	16:01	|	16:48	17:18	17:34	18:36	20:41	22:23	24	14	24	24	12	16	6	20	18	18	16	16	12	8	10		6	18
3	Staré Město,,Lidový dům		4:46	5:16	5:34	5:55	6:24	6:51	7:27	7:30	7:23	7:27	7:29	7:18	7:41	8:42	9:28		10:12	11:30	11:34	13:12	13:14	13:24	13:18	14:06	14:10	14:13	14:48	15:08	15:24	15:43	16:02	15:51	16:49	17:19	17:35	18:37	20:42	22:24	24	14	24	24	12	16	6	20	18	18	16	16	12	8	10		6	18
2	Staré Město,,hřbitov		4:47	5:17	|	|	|	|	|	|	|	|	|	|	|	|	|		|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	24	14	24	24	12	16	6	20	18	18	16	16	12	8	10		6	18
1	Uherské Hradiště,,aut.nádr.	příjezd	4:50	5:20	5:37	5:58	6:28	6:55	7:30	7:35	7:28	7:30	7:33	7:23	7:45	8:46	9:32		10:15	11:34	11:37	13:15	13:18	13:27	13:23	14:10	14:14	14:17	14:51	15:11	15:28	15:48	16:05	15:55	16:54	17:24	17:39	18:40	20:45	22:28	26	16	26	26	14	18	8	22	20	20	18	18	14	10	12		8	20
																																																										
Přepravu zajišťuje: ČSAD BUS Uherské Hradiště a.s., Malinovského 874, 686 19 Uherské Hradiště, www.csaduh.cz																																																										
