Linka číslo 802180		Uherské Hradiště-Březolupy-Zlín																																		
Platí od 1. 1. 2021 do 31. 12. 2021																																				
Tč			Spoj 1	Spoj 205	Spoj 3	Spoj 5	Spoj 7	Spoj 201	Spoj 9	Spoj 11	Spoj 71	Spoj 171	Spoj 13	Spoj 17	Spoj 203	Spoj 19	Spoj 207	Spoj 21	Spoj 23	Spoj 211	Spoj 27	Spoj 29	Spoj 31	Spoj 217	Spoj 35	Spoj 37	Spoj 39	Spoj 209	Spoj 41	Spoj 43	Spoj 213	Spoj 33	Spoj 45	km	km	km
21	Bohuslavice u Zlína,,vozovna		4:51	5:31	5:46	6:21	6:33	6:41	6:45	7:03	7:31	7:27	8:13	9:01	9:36	11:01	11:45	11:59	13:13	13:46	14:00	14:02	14:45	15:00	15:20	16:20	16:56	17:01	18:39	19:30	19:38	20:30	21:14	10	19	18
22	Bohuslavice u Zlína,,škola		|	|	|	|	6:34	|	|	7:05	7:32	7:28	8:15	|	|	|	11:46	|	13:14	|	14:01	|	|	15:01	15:21	|	|	|	|	|	|	|	|	10	19	18
23	Bohuslavice u Zlína,,křiž.		4:53	5:34	5:48	6:23	6:36	6:44	6:46	7:06	7:33	7:30	8:16	9:03	9:39	11:03	11:47	12:01	13:15	13:49	14:02	14:04	14:47	15:02	15:22	16:22	16:58	17:04	18:41	19:32	19:40	20:32	21:16	11	20	19
24	Bohuslavice u Zlína,,sokolovna		|	5:35	|	6:24	6:37	6:45	6:47	|	|	|	|	9:04	9:40	11:04	11:48	12:02	13:16	13:50	14:03	|	|	15:03	15:23	|	16:59	17:05	|	|	|	|	21:17	12	21	20
25	Březnice,,zast.		|	5:36	5:50	6:26	6:39	6:46	6:49	|	|	|	|	9:05	9:41	11:05	11:49	12:04	13:18	13:51	14:04	|	14:50	15:04	15:25	16:24	17:00	17:06	18:44	19:34	19:42	20:34	21:18	13	22	21
26	Březnice,,křiž.		4:56	5:37	5:52	6:27	6:41	6:47	6:51	7:09	7:36	7:34	8:19	9:07	9:42	11:07	11:50	12:05	13:20	13:52	14:06	14:09	14:51	15:05	15:26	16:25	17:02	17:07	18:45	19:35	19:43	20:35	21:20	14	23	22
27	Březnice,,rozc.		<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<
28	Březnice,,střed		<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<
29	Březnice,,točna		<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<
30	Březnice,,střed		<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<
31	Březnice,,rozc.		<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<
32	Březnice,,paseky		|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	|	15	24	23
33	Zlín,,U Majáku		4:59	5:39	5:56	6:31	6:44	6:49	6:56	7:12	7:39	7:37	8:22	9:11	9:44	11:11	11:52	12:09	13:24	13:54	14:09	14:12	14:54	15:07	15:29	16:28	17:05	17:09	18:48	19:38	19:46	20:38	21:24	16	25	24
34	Zlín,,Nám.Práce		5:02	5:42	5:59	6:35	6:48	6:52	7:00	7:17	7:50	7:41	8:27	9:15	9:47	11:15	11:56	12:13	13:28	13:57	14:13	14:17	14:57	15:11	15:33	16:31	17:09	17:12	18:53	19:42	19:50	20:42	21:28	19	28	27
35	Zlín,,aut.nádr.	příjezd	5:05	5:45	6:02	6:38	6:52	6:55	7:02	7:20	7:55	7:50	8:30	9:17	9:50	11:17	12:00	12:15	13:30	14:00	14:15	14:19	15:02	15:15	15:35	16:35	17:12	17:15	18:55	19:45	19:52	20:45	21:30	20	29	28
																																				
Přepravu zajišťuje: ČSAD BUS Uherské Hradiště a.s., Malinovského 874, 686 19 Uherské Hradiště, www.csaduh.cz																																				
