"000004","1","","2762","","","","","1";
"000004","2","0","2774","","","","","1";
"000004","3","0","27862","","","","","1";
"000004","4","","26933","","","","","1";
"000004","5","0","4842","","","","","1";
"000004","6","0","6496","","","","","1";
"000004","7","","30281","","","","","1";
"000004","8","","22246","","30","","","1";
"000004","9","","22245","","30","","","1";
"000004","10","","51798","","30","","","1";
"000004","11","0","258","","","","","1";
"000004","12","","14286","","","","","1";
"000004","13","0","48638","","30","","","1";
"000004","14","0","2587","","","","","1";
"000004","15","0","56851","","30","","","1";
"000004","16","0","36242","","30","","","1";
"000004","17","0","39167","","30","","","1";
"000004","18","0","2590","","30","","","1";
"000004","19","0","53929","","30","","","1";
"000009","1","","26933","","","","","1";
"000009","2","","27862","","","","","1";
"000009","3","","27888","","","","","1";
"000009","4","","54483","","","","","1";
"000009","5","","2774","","","","","1";
"000009","6","","51136","","","","","1";
"000009","7","","63836","","","","","1";
"000009","8","","63600","","","","","1";
"000009","9","","52293","","","","","1";
"000009","10","","3977","","","","","1";
"000009","11","","50875","","","","","1";
"000009","12","","30756","","","","","1";
"000009","13","","46993","","","","","1";
"000009","14","","46998","","","","","1";
"000009","15","","19872","","","","","1";
"000009","16","","33604","","","","","1";
"000009","17","","6252","","","","","1";
"000009","18","","13734","","","","","1";
"000009","19","","12349","","","","","1";
"000009","20","","50283","","","","","1";
"000009","21","","58095","","","","","1";
"000009","22","","46937","","","","","1";
"000010","1","","27862","","","","","1";
"000010","2","","55775","","","","","1";
"000010","3","","26933","","","","","1";
"000010","4","","30281","","","","","1";
"000010","5","","41075","","","","","1";
"000010","6","","3","","","","","1";
"000010","7","","64263","","","","","1";
"000010","8","","55111","","23","","","1";
"000010","9","","55121","","23","","","1";
"000010","10","","64606","","","","","1";
"000010","11","","64264","","23","","","1";
"000010","12","","3","","","","","1";
"000010","13","","52095","","","","","1";
"000010","14","","64935","","","","","1";
"000010","15","","51976","","","","","1";
"000010","16","","49413","","","","","1";
"000010","17","","3005","","","","","1";
"000010","18","","66538","","","","","1";
"000010","19","","49418","","","","","1";
"000010","20","","43183","","","","","1";
"000010","21","","44282","","","","","1";
"000010","22","","44384","","","","","1";
"000010","23","","55426","","","","","1";
"000014","1","","26933","","","","","1";
"000014","2","","27862","","","","","1";
"000014","3","","2774","","","","","1";
"000014","4","","3078","","","","","1";
"000014","5","","48919","","","","","1";
"000014","6","","2524","","","","","1";
"000014","7","","29443","","","","","1";
"000014","8","","148","","","","","1";
"000014","9","","2172","","","","","1";
"000014","10","","54457","","","","","1";
"000014","11","","64261","","","","","1";
"000014","12","","64262","","","","","1";
"000014","13","","52457","","","","","1";
"000014","14","","57593","","","","","1";
"000014","15","","57592","","","","","1";
"000014","16","","54446","","","","","1";
"000014","17","","54447","","","","","1";
"000015","1","","11437","","","","","1";
"000015","2","","20417","","","","","1";
"000015","3","","35358","","","","","1";
"000015","4","","26933","","","","","1";
"000015","5","","27862","","","","","1";
"000015","6","","2774","","","","","1";
"000015","7","","51136","","","","","1";
"000015","8","","63836","","","","","1";
"000015","9","","63600","","","","","1";
"000015","10","","46993","","","","","1";
"000015","11","","46998","","","","","1";
"000015","12","","64949","","","","","1";
"000015","13","","44095","","","","","1";
"000015","14","","44140","","","","","1";
"000015","15","","62441","","","","","1";
"000015","16","","62442","","","","","1";
"000015","17","","65889","","","","","1";
"000015","18","","46937","","","","","1";
"000017","1","","26933","","","","","1";
"000017","2","","27862","","","","","1";
"000017","3","","27888","","","","","1";
"000017","4","","21373","","","","","1";
"000017","5","","18158","","","","","1";
"000017","6","","58683","","","","","1";
"000017","7","","58681","","","","","1";
"000017","8","","50457","","","","","1";
"000017","9","","50583","","","","","1";
"000017","10","","50210","","","","","1";
"000017","11","","64272","","","","","1";
"000017","12","","64273","","","","","1";
"000017","13","","65349","","","","","1";
"000017","14","","66844","","","","","1";
"000017","15","","66845","","","","","1";
"000017","16","","66842","","","","","1";
"000017","17","","66843","","","","","1";
"000022","1","","55775","","","","","1";
"000022","2","","27862","","","","","1";
"000022","3","","55775","","","","","1";
"000022","4","","26933","","","","","1";
"000022","5","","30281","","","","","1";
"000022","6","","41075","","","","","1";
"000022","7","","22246","","33","","","1";
"000022","8","","55876","","33","","","1";
"000022","9","","18522","","","","","1";
"000022","10","","9396","","","","","1";
"000022","11","","65545","","","","","1";
"000022","12","","65544","","","","","1";
"000022","13","","9137","","","","","1";
"000022","14","","5737","","","","","1";
"000022","15","","63917","","31","","","1";
"000022","16","","42192","","31","","","1";
"000022","17","","52341","","31","","","1";
"000022","18","","64297","","31","","","1";
"000022","19","","64431","","23","","","1";
"000022","20","","64153","","","","","1";
"000022","21","","62670","","32","","","1";
"000022","22","","53929","","32","","","1";
"000022","23","","8102","","32","","","1";
"000029","1","","26933","","","","","1";
"000029","2","","27862","","","","","1";
"000029","3","","2774","","","","","1";
"000029","4","","51136","","","","","1";
"000029","5","","63836","","","","","1";
"000029","6","","63600","","","","","1";
"000029","7","","46993","","","","","1";
"000029","8","","46998","","","","","1";
"000029","9","","64949","","","","","1";
"000029","10","","19872","","","","","1";
"000029","11","","33604","","","","","1";
"000029","12","","6252","","","","","1";
"000029","13","","13734","","","","","1";
"000029","14","","12349","","","","","1";
"000029","15","","58106","","","","","1";
"000029","16","","58105","","","","","1";
"000030","1","","26933","","","","","1";
"000030","2","","27888","","","","","1";
"000030","3","","2774","","","","","1";
"000030","4","","24744","","","","","1";
"000030","5","","51136","","","","","1";
"000030","6","","5023","","","","","1";
"000030","7","","3977","","","","","1";
"000030","8","","58401","","","","","1";
"000030","9","","64663","","","","","1";
"000030","10","","46993","","","","","1";
"000030","11","","20641","","","","","1";
"000030","12","","65491","","","","","1";
"000030","13","","46998","","","","","1";
"000030","14","","19872","","","","","1";
"000030","15","","33604","","","","","1";
"000030","16","","7174","","","","","1";
"000030","17","","36534","","","","","1";
"000036","1","","51991","","","","","1";
"000036","2","","54659","","","","","1";
"000036","3","","54660","","","","","1";
"000036","4","","51998","","","","","1";
"000036","5","","51990","","","","","1";
"000036","6","","51997","","","","","1";
"000036","7","","62998","","","","","1";
"000036","8","","63655","","","","","1";
"000036","9","","616","","","","","1";
"000036","10","","65458","","","","","1";
"000036","11","","615","","","","","1";
"000036","12","","63655","","","","","1";
"000036","13","","54661","","","","","1";
"000036","14","","42602","","","","","1";
"000036","15","","42604","","","","","1";
"000036","16","","42611","","","","","1";
"000036","17","","42614","","","","","1";
"000036","18","","55144","","","","","1";
"000036","19","","42610","","","","","1";
"000037","1","","27862","","","","","1";
"000037","2","","55775","","","","","1";
"000037","3","","30281","","","","","1";
"000037","4","","41075","","","","","1";
"000037","5","","29727","","","","","1";
"000037","6","","55876","","","","","1";
"000037","1","","27862","","","","","2";
"000037","2","","55775","","","","","2";
"000037","3","","30281","","","","","2";
"000037","4","","41075","","","","","2";
"000037","5","","29727","","","","","2";
"000037","6","","55876","","","","","2";
"000048","1","","42602","","","","","1";
"000048","2","","42603","","","","","1";
"000048","3","","619","","","","","1";
"000048","4","","615","","","","","1";
"000048","5","","616","","","","","1";
"000048","6","","64526","","","","","1";
"000048","7","","62999","","","","","1";
"000048","8","","63655","","","","","1";
"000048","9","","54661","","","","","1";
"000048","10","","64527","","","","","1";
"000048","11","","64528","","","","","1";
"000048","12","","55026","","","","","1";
"000048","13","","53066","","","","","1";
"000048","14","","64529","","","","","1";
"000048","15","","64530","","","","","1";
"000048","16","","64531","","","","","1";
"000048","17","","53067","","","","","1";
"000048","18","","64534","","","","","1";
"000048","19","","64533","","","","","1";
"000048","20","","53068","","","","","1";
"000048","21","","64532","","","","","1";
"000048","22","","64541","","","","","1";
"000048","23","","64542","","","","","1";
"000048","24","","64543","","","","","1";
"000048","25","","64544","","","","","1";
"000048","26","","53069","","","","","1";
"000048","27","","64545","","","","","1";
"000048","28","","64599","","","","","1";
"000048","29","","64546","","","","","1";
"000048","30","","64547","","","","","1";
"000048","31","","53073","","","","","1";
"000048","32","","58906","","","","","1";
"000048","33","","64548","","","","","1";
"000048","34","","64549","","","","","1";
"000048","35","","64550","","","","","1";
"000048","36","","53070","","","","","1";
"000048","37","","64551","","","","","1";
"000048","38","","64552","","","","","1";
"000048","39","","64553","","","","","1";
"000048","40","","64554","","","","","1";
"000048","41","","55027","","","","","1";
"000048","42","","64555","","","","","1";
"000048","43","","64556","","","","","1";
"000048","44","","53071","","","","","1";
"000048","45","","64575","","","","","1";
"000048","46","","53072","","","","","1";
"000048","47","","64557","","","","","1";
"000048","48","","64558","","","","","1";
"000048","49","","64559","","","","","1";
"000048","50","","64560","","","","","1";
"000048","51","","64561","","","","","1";
"000048","52","","64562","","","","","1";
"000048","53","","53074","","","","","1";
"000048","54","","53075","","","","","1";
"000048","55","","64600","","","","","1";
"000048","56","","64563","","","","","1";
"000048","57","","64564","","","","","1";
"000048","58","","64565","","","","","1";
"000048","59","","64566","","","","","1";
"000048","60","","64567","","","","","1";
"000048","61","","64568","","","","","1";
"000048","62","","64569","","","","","1";
"000048","63","","64570","","","","","1";
"000048","64","","53076","","","","","1";
"000048","65","","64571","","","","","1";
"000048","66","","64572","","","","","1";
"000048","67","","64573","","","","","1";
"000048","68","","64574","","","","","1";
"000048","69","","64576","","","","","1";
"000048","70","","64577","","","","","1";
"000048","71","","64578","","","","","1";
"000048","72","","64579","","","","","1";
"000048","73","","64580","","","","","1";
"000048","74","","64581","","","","","1";
"000048","75","","64582","","","","","1";
"000048","76","","64583","","","","","1";
"000048","77","","64584","","","","","1";
"000048","78","","64585","","","","","1";
"000048","79","","64586","","","","","1";
"000048","80","","64587","","","","","1";
"000048","81","","64588","","","","","1";
"000048","82","","64589","","","","","1";
"000048","83","","64590","","","","","1";
"000048","84","","64601","","","","","1";
"000048","85","","64602","","","","","1";
"000048","86","","64591","","","","","1";
