Linka číslo 802170		Uherské Hradiště-Babice-Otrokovice/Zlín																																
Platí od 7. 3. 2021 do 31. 12. 2021																																		
Tč			Spoj 1	Spoj 41	Spoj 3	Spoj 5	Spoj 7	Spoj 9	Spoj 11	Spoj 35	Spoj 13	Spoj 201	Spoj 15	Spoj 17	Spoj 19	Spoj 43	Spoj 21	Spoj 23	Spoj 523	Spoj 25	Spoj 27	Spoj 29	Spoj 37	Spoj 33	Spoj 31	km	km	km	km	km	km	km	km	km
30	Otrokovice,,aut.st.		<	5:18	5:50		<	<	<	<	<	<	<	<	<	13:16	14:00	<	<	<	<	<	<	21:42		<	23		<	25		27	17	<
31	Zlín,Malenovice,ZPS		5:13				6:57	7:22	8:09	8:54	10:44	11:14	12:04	12:34	13:20			14:52	|	15:52	16:57	17:57	18:52			24			22					22
32	Zlín,Malenovice,křiž.		5:17				7:01	7:26	8:13	8:58	10:48	11:16	12:07	12:37	13:23			14:56	14:45	15:56	17:01	18:01	18:56			26			24					24
33	Zlín,Louky,křiž.		|				|	|	|	|	|	|	|	|	|			|	|	|	|	|	|			28			26					26
34	Zlín,Louky,Růžová		5:20				7:05	7:31	8:18	9:03	10:53	11:22	12:12	12:42	13:28			15:00	|	16:00	17:05	18:05	19:00			28			26					26
35	Zlín,,Zahradnická		5:23				7:09	7:35	8:21	9:06	10:56	|	12:15	12:45	13:31			15:03	|	16:03	17:08	18:08	19:03			30			28					28
36	Zlín,,Nám.Práce		5:26				7:12	7:37	8:23	9:08	10:58	11:27	12:17	12:47	13:33			15:05	|	16:05	17:10	18:10	19:05			31			29					29
37	Zlín,,aut.nádr.	příjezd	5:28				7:15	7:39	8:25	9:10	11:00	11:30	12:20	12:50	13:35			15:10	15:00	16:10	17:15	18:15	19:10			32			30					30
																																		
Přepravu zajišťuje: ČSAD BUS Uherské Hradiště a.s., Malinovského 874, 686 19 Uherské Hradiště, www.csaduh.cz																																		
