Linka číslo 802180		Uherské Hradiště-Březolupy-Zlín																																					
Platí od 1. 1. 2021 do 31. 12. 2021		opačný směr																																					
Tč			Spoj 2	Spoj 104	Spoj 4	Spoj 6	Spoj 8	Spoj 10	Spoj 12	Spoj 212	Spoj 14	Spoj 202	Spoj 16	Spoj 18	Spoj 214	Spoj 216	Spoj 20	Spoj 22	Spoj 24	Spoj 26	Spoj 28	Spoj 206	Spoj 30	Spoj 34	Spoj 36	Spoj 38	Spoj 218	Spoj 40	Spoj 42	Spoj 208	Spoj 44	Spoj 46	Spoj 210	Spoj 50	Spoj 48	km	km	km	km
			X 27	X 17	X 27	X	X	X 27	X 20	6 +	X 27	6 +	X	X	6 34	+	X	X 29	X	X	X 29	6 +	X	X	X 27	X	6 +	X	X 31	6 + 24	X 31	X 31	6 + 24	X 27	X 31				
13	Bílovice,,st.č.2				<	<	6:51	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	19:29	<	<	<	22:50	<	<	20	23
12	Bílovice,,točna				<	<	6:52	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<	<		<	<	<		<	<	20	
11	Bílovice,,st.č.1				5:56	6:35		7:18	7:30	8:05	8:35	9:15	10:03	11:28	11:35	12:55	13:05	13:27	14:02	14:40	14:43	14:50	15:05	15:37	16:13	16:43	16:45	17:21	17:52	18:45		20:21	20:25	21:26		20	20		
10	Bílovice,Včelary				5:57	6:36		7:20	7:31	8:06	8:36	9:16	10:05	11:29	11:36	12:56	13:06	|	14:03	14:42	|	14:51	15:06	15:38	16:15	16:45	16:46	17:23	17:54	18:46		20:22	20:26	21:27		21	21		
9	Mistřice,,rozc.1.0				5:58	6:37		7:21	7:32	8:07	8:37	9:17	10:06	11:30	11:37	12:57	13:08	|	14:04	|	|	14:52	15:07	15:39	16:16	16:46	16:47	17:24	17:55	18:47		20:23	20:27	21:28		21	21		
8	Kněžpole				5:59	<		<	<	8:09	8:38	9:19	10:07	11:31	11:39	12:59	13:09	<	14:05	14:44	<	14:54	15:08	15:40	16:17	<	16:49	17:25	<	18:49		20:24	20:29	<		22	<		
7	Kněžpole,,vodárna				|	|		7:22	|	8:10	|	9:20	10:08	11:32	11:40	13:00	13:10	|	14:06	14:45	|	14:55	15:09	15:41	16:18	16:48	16:50	17:26	17:57	18:50		20:25	20:30	21:30		23	22		
6	Uherské Hradiště,Jarošov,Blaně				6:01	6:39		7:24	7:34	|	|	|	|	11:33	|	|	|	|	|	14:46	|	|	15:10	15:42	16:20	16:49	|	17:27	17:58	|		20:26	20:31	21:31		24	23		
5	Uherské Hradiště,Jarošov,pivovar				6:02	6:41		7:25	7:36	8:13	8:42	9:23	10:11	11:34	11:43	13:03	13:13	|	14:09	14:48	14:47	14:58	15:12	15:44	16:22	16:50	16:53	17:29	18:00	18:53		20:27	20:32	21:32		25	24		
4	Uherské Hradiště,Jarošov,U Bagru				6:03	6:42		7:26	7:37	8:14	8:43	9:24	10:13	11:35	11:44	13:04	13:14	|	14:10	14:49	14:48	14:59	15:13	15:45	16:23	16:51	16:54	17:30	18:01	18:54		20:28	20:33	21:33		26	25		
3	Uherské Hradiště,Mařatice,Jaktáře				6:04	6:43		7:27	7:38	8:15	8:44	9:25	10:14	11:36	11:45	13:05	13:15	|	14:11	14:50	14:49	15:00	15:14	15:46	16:25	16:52	16:55	17:31	18:02	18:55		20:29	20:35	21:34		26	25		
2	Uherské Hradiště,Mařatice,Mesit				6:05	6:44		7:29	7:39	8:17	8:45	9:27	10:16	11:37	11:47	13:07	13:18	|	14:13	14:51	14:50	15:02	15:15	15:47	16:27	16:53	16:57	17:33	18:04	18:57		20:30	20:36	21:35		27	26		
1	Uherské Hradiště,,aut.nádr.	příjezd			6:10	6:50		7:34	7:45	8:20	8:49	9:30	10:20	11:40	11:50	13:10	13:20	13:40	14:18	14:55	14:55	15:05	15:20	15:50	16:30	16:57	17:00	17:36	18:07	19:00		20:33	20:40	21:38		29	28		
																																							
Přepravu zajišťuje: ČSAD BUS Uherské Hradiště a.s., Malinovského 874, 686 19 Uherské Hradiště, www.csaduh.cz																																							
