"000009","1","00000000","","","","","","","","","","","28","1";
"000009","1","00000000","","","","","","","","","","","11","1";
"000009","2","00000000","","","","","","","","","","","28","1";
"000009","5","00000000","","","","","","","","","","","28","1";
"000009","6","00000000","","","","","","","","","","","11","1";
"000009","6","00000000","","","","","","","","","","","28","1";
"000009","9","00000000","","","","","","","","","","","28","1";
"000009","9","00000000","","","","","","","","","","","11","1";
"000009","10","00000000","","","","","","","","","","","28","1";
"000009","13","00000000","","","","","","","","","","","28","1";
"000009","14","00000000","","","","","","","","","","","28","1";
"000009","14","00000000","","","","","","","","","","","11","1";
"000015","0","00000000","","","","","","","","","","","42","1";
"000017","3","00000000","","","","","","","","","","","35","1";
"000017","4","00000000","","","","","","","","","","","35","1";
"000029","0","00000000","","","","","","","","","","","42","1";
"000030","0","00000000","","","","","","","","","","","24","1";
"000030","0","00000000","","","","","","","","","","","3","1";
"000036","7","00000000","","","","","","","","","15122019","31122020","29","1";
"000036","10","00000000","","","","","","","","","15122019","31122020","29","1";
"000036","51","00000000","","","","","","","","","15122019","31122020","29","1";
"000036","52","00000000","","","","","","","","","15122019","31122020","29","1";
"000036","59","00000000","","","","","","","","","15122019","31122020","29","1";
"000036","62","00000000","","","","","","","","","15122019","31122020","29","1";
"000074","0","00000000","","","","","","","","","","","33","1";
"000084","0","00000000","","","","","","","","","","","1","1";
"000084","0","00000000","","","","","","","","","","","12","1";
"000208","0","00000000","","","","","","","","","","","15","1";
"000208","0","00000000","","","","","","","","","","","22","1";
"000208","0","00000000","","","","","","","","","","","8","1";
"000210","0","00000000","","","","","","","","","","","14","1";
"000247","3","00000000","","","","","","","","","","","10","1";
"000247","4","00000000","","","","","","","","","","","10","1";
"000247","5","00000000","","","","","","","","","","","32","1";
"000247","6","00000000","","","","","","","","","","","32","1";
"000277","0","00000000","","","","","","","","","","","27","1";
"000277","0","00000000","","","","","","","","","","","18","1";
"000294","0","00000000","","","","","","","","","","","40","1";
"000305","0","00000000","","","","","","","","","","","16","1";
"000305","0","00000000","","","","","","","","","","","5","1";
"000326","3","00000000","","","","","","","","","","","25","1";
"000326","4","00000000","","","","","","","","","","","25","1";
"000329","5","00000000","","","","","","","","","","","30","1";
"000329","6","00000000","","","","","","","","","","","30","1";
"000331","5","25762427","","","","","","","","","01012020","12032024","1","1";
"000331","6","25762427","","","","","","","","","01012020","12032024","1","1";
"000331","7","00000000","","","","","","","","","01012020","12032024","41","1";
