"805008","1","","17","","","","","1";
"805008","2","","10","","","","","1";
"805008","3","","9","","","","","1";
"805008","4","","11","","","","","1";
"805008","5","","5","","","","","1";
"805008","6","","6","","","","","1";
"805008","7","","5","","","","","1";
"805008","8","","11","","","","","1";
"805008","9","","9","","","","","1";
"805008","10","","12","","","","","1";
"805008","11","","8","","","","","1";
"805008","12","","1","","","","","1";
"805008","13","","7","","","","","1";
"805008","14","","18","","","","","1";
"805008","15","","15","","","","","1";
"805008","16","","2","","","","","1";
"805008","17","","16","","","","","1";
"805008","18","","3","","","","","1";
"805008","19","","13","","","","","1";
"805008","20","","4","","","","","1";
"805008","21","","14","","","","","1";
