"445001","1","30007","1","1","","1";
"445002","1","30007","2","1","","1";
"445004","1","30007","4","1","","1";
"445010","1","30007","10","1","","1";
"445011","1","30007","11","1","","1";
"445012","1","30007","12","1","","1";
"445013","1","30007","13","1","","1";
"445014","1","30007","14","1","","1";
"445015","1","30007","15","1","","1";
"445016","1","30007","16","1","","1";
"445017","1","30007","17","1","","1";
"445018","1","30007","18","1","","1";
"445019","1","30007","11","1","","1";
"445020","1","30007","20","1","","1";
"445021","1","30007","21","1","","1";
"445022","1","30007","22","1","","1";
"445023","1","30007","23","1","","1";
"445024","1","30007","24","1","","1";
"445025","1","30007","25","1","","1";
"445026","1","30007","26","1","","1";
"445027","1","30007","27","1","","1";
"445028","1","30007","28","1","","1";
"445029","1","30007","29","1","","1";
"445030","1","30007","30","1","","1";
"445031","1","30007","31","1","","1";
"445032","1","30007","32","1","","1";
"445033","1","30007","33","1","","1";
"445034","1","30007","34","1","","1";
"445035","1","30007","35","1","","1";
"445036","1","30007","36","1","","1";
"445037","1","30007","37","1","","1";
"445040","1","30007","40","1","","1";
"445041","1","30007","41","1","","1";
"445050","1","30007","50","1","","1";
"445051","1","30007","51","1","","1";
"445052","1","30007","52","1","","1";
"445053","1","30007","53","1","","1";
"445054","1","30007","54","1","","1";
"445056","1","30007","56","1","","1";
"445057","1","30007","57","1","","1";
"445101","1","30007","T1","1","","1";
"445102","1","30007","T2","1","","1";
"446001","1","30007","N1","1","","1";
"446002","1","30007","N2","1","","1";
"446003","1","30007","N3","1","","1";
"446004","1","30007","N4","1","","1";
"446005","1","30007","N5","1","","1";
"446006","1","30007","N6","1","","1";
"446007","1","30007","N7","1","","1";
"446011","1","30007","N11","1","","1";
"446012","1","30007","N12","1","","1";
"446013","1","30007","N13","1","","1";
"495001","1","30060","791","1","","1";
